symbol,name,moneyflow incoming ratio (%),price change ratio (%),turnover,superbig_angle
sh600515,海岛建设,-2.136282853556973,2.87592,244.771,-67.1214
sh600517,置信电气,1.0526410735460405,2.32221,134.976,-71.4173
sh600518,康美药业,2.0321381348109764,1.85602,293.304,51.1595
sh600519,贵州茅台,-22.610110855287164,-0.0472125,30.7878,-90.1361
sh600520,中发科技,5.848025253942918,6.37776,486.286,21.5195
sh600521,华海药业,-12.299658469871233,0.504819,125.997,-79.793
sh600523,贵航股份,6.0900557295896185,4.2674900000000004,154.746,-65.9048
sh600525,长园集团,-17.178821286391866,-1.54968,122.269,-101.771
sh600526,菲达环保,7.3019925768469935,7.81659,1148.92,35.2581
sh600527,江南高纤,6.490864851920917,4.266,312.258,-14.8046
sh600528,中铁二局,1.2982883927883575,3.2771500000000002,316.104,-48.1602
sh600529,山东药玻,-5.513763835870229,-0.7909599999999999,370.454,118.033
sh600530,交大昂立,1.2647464106156385,3.3467200000000004,225.917,57.8107
sh600531,豫光金铅,-6.156939021647577,2.12139,140.142,-48.1324
sh600532,宏达矿业,20.093346142806876,3.05164,247.399,71.6959
sh600533,栖霞建设,6.7789126096384935,2.2508,164.518,50.1177
sh600535,天士力,-8.733924442682534,0.0,86.6805,-90.0
sh600536,中国软件,-5.630120348028277,-0.042301200000000004,407.085,-90.5814
sh600537,亿晶光电,1.0824895290774263,1.26249,186.165,80.6834
sh600538,国发股份,-3.5985308526754847,2.9511,705.502,-20.4254
sh600540,新赛股份,-9.10134721552509,1.5343,112.014,-5.07074
