symbol,name,big in(%),small in(%),price(%),big/price,turnover
sz002620,瑞和股份,24.2,-10.8,13.51,503.359,1.79
sz000906,物产中拓,26.0,-2.1,14.61,334.087,1.78
sz002504,东光微电,20.2,20.6,11.36,385.144,1.78
sh601908,京运通,22.6,-1.4,12.73,379.53,1.78
sz002715,登云股份,50.4,14.9,28.25,1347.98,1.78
sz002451,摩恩电气,36.0,7.0,20.31,418.924,1.77
sz002301,齐心集团,16.6,-2.8,9.37,298.101,1.77
sz000698,沈阳化工,24.6,7.5,13.93,1785.98,1.77
sz002563,森马服饰,17.4,-11.7,9.81,49.1847,1.77
sh600211,西藏药业,17.3,-16.0,9.81,174.347,1.76
sz000796,易食股份,49.8,8.0,28.36,1886.72,1.76
sh600898,三联商社,34.5,3.8,19.76,295.808,1.75
sz002401,中海科技,38.4,4.7,21.91,301.539,1.75
sz002077,大港股份,12.1,20.3,6.95,346.275,1.74
sz000753,漳州发展,16.6,1.3,9.54,390.606,1.74
sz000408,金谷源,25.4,11.1,14.61,393.603,1.74
sh600138,中青旅,19.6,0.2,11.24,307.907,1.74
sh600704,物产中大,18.6,1.1,10.76,360.027,1.73
sh600206,有研新材,14.5,6.8,8.36,279.461,1.73
sz002055,得润电子,26.0,1.0,15.01,477.618,1.73
sz002583,海能达,15.5,-7.7,8.97,488.386,1.73
sz002251,步 步 高,24.4,4.0,14.14,436.323,1.73
sz000004,国农科技,23.1,4.9,13.44,338.388,1.72
sz002091,江苏国泰,14.0,3.5,8.13,257.326,1.72
sz000657,中钨高新,12.9,1.1,7.56,249.597,1.71
sz002009,天奇股份,16.6,4.5,9.73,595.243,1.71
sz002575,群兴玩具,33.5,9.9,19.59,228.85,1.71
sz002094,青岛金王,33.7,6.2,19.7,387.461,1.71
sh600466,蓝光发展,36.2,4.5,21.29,273.51,1.7
sz002130,沃尔核材,38.5,4.1,22.61,501.602,1.7
sh600647,同达创业,28.5,8.2,16.87,193.684,1.69
sz002151,北斗星通,24.2,2.2,14.35,649.98,1.69
sz002594,比亚迪,12.5,0.1,7.45,189.252,1.68
sh600180,瑞茂通,43.8,4.4,26.13,561.987,1.68
sz000917,电广传媒,21.0,-0.2,12.49,640.921,1.68
sh603020,爱普股份,28.5,2.7,17.09,874.304,1.67
sz002375,亚厦股份,24.5,-2.1,14.69,216.864,1.67
sz002480,新筑股份,6.4,-3.5,3.83,449.95,1.67
sh600592,龙溪股份,25.2,0.4,15.12,429.295,1.67
sz000409,山东地矿,21.7,10.3,12.96,332.319,1.67
sz000748,长城信息,21.1,5.9,12.71,125.548,1.66
sh600688,上海石化,8.7,0.8,5.25,814.48,1.66
sz000957,中通客车,20.8,5.4,12.51,428.793,1.66
sh601801,皖新传媒,9.9,-13.6,6.0,52.5574,1.65
sz000088,盐 田 港,12.1,-0.9,7.32,152.371,1.65
